a,b,country_a,country_b,same_country,n_items,score,items,opposing
Comanchero Motorcycle Club,Mongols MC,Australia,United States,False,2,11,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Mongols MC,Rebels Motorcycle Club,United States,Australia,False,2,10,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Comanchero Motorcycle Club,Rebels Motorcycle Club,Australia,Australia,True,3,9,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club', 'Rock Machine Motorcycle Club']",['Hells Angels Motorcycle Club']
Nuestra Familia,Texas Syndicate,United States,United States,True,3,9,"['Aryan Brotherhood', 'Mexican Mafia', 'Mexikanemi']",[]
Cártel de Santa Rosa de Lima,Knights Templar Cartel,Mexico,Mexico,True,2,9,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Comanchero Motorcycle Club,Vagos Motorcycle Club,Australia,United States,False,2,7,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Finks Motorcycle Club,Vagos Motorcycle Club,Australia,United States,False,3,7,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club', 'Mongols MC']",[]
Gypsy Joker Motorcycle Club,Mongols MC,United States,United States,True,3,7,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club', 'Mongrel Mob']",['Hells Angels Motorcycle Club']
Guerreros Unidos,Los Metros,Mexico,Mexico,True,4,7,"['Cártel de los Rojos', 'Gulf Cartel', 'Los Rojos', 'Sinaloa Cartel']",['Cártel de los Rojos']
Latin Counts,Simon City Royals,United States,United States,True,5,7,"['Imperial Gangsters', 'Insane Deuces', 'Latin Kings', 'Maniac Latin Disciples', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Mongols MC,Red Devils Motorcycle Club,United States,Sweden,False,2,6,"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']",['Outlaws Motorcycle Club']
Comanchero Motorcycle Club,Gypsy Joker Motorcycle Club,Australia,United States,False,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Finks Motorcycle Club,Gypsy Joker Motorcycle Club,Australia,United States,False,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Finks Motorcycle Club,Rebels Motorcycle Club,Australia,Australia,True,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Gypsy Joker Motorcycle Club,Vagos Motorcycle Club,United States,United States,True,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Rebels Motorcycle Club,Vagos Motorcycle Club,Australia,United States,False,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Black Gangster Disciples Nation,Mara Salvatrucha,United States,United States,True,2,6,"['Bloods', 'Latin Kings']",[]
Crips,Texas Syndicate,United States,United States,True,3,6,"['Aryan Brotherhood', 'Mexican Mafia', 'Puro Tango Blast']",[]
Cártel de Caborca,Los Mazatlecos,Mexico,Mexico,True,3,6,"['Gulf Cartel', 'Los Chapitos', 'Sinaloa Cartel']",[]
Guerreros Unidos,Los Mazatlecos,Mexico,Mexico,True,3,6,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Gente Nueva,Mara Salvatrucha,Mexico,United States,False,3,6,"['Juárez Cartel', 'Knights Templar Cartel', 'Los Zetas']",['Los Zetas']
Los Solidos,Mara Salvatrucha,United States,United States,True,2,6,"['Latin Kings', 'Ñetas']",[]
La Raza Nation,Simon City Royals,United States,United States,True,3,6,"['Latin Kings', 'Maniac Latin Disciples', 'People Nation']",[]
Aryan Brotherhood,Mexikanemi,United States,United States,True,2,6,"['Nuestra Familia', 'Texas Syndicate']",[]
Longsight Crew,Moss Side Bloods,,,,2,6,"['Gooch Close Gang', 'Old Trafford Cripz']",[]
Contini clan,Vollaro clan,Italy,Italy,True,2,5,"['Clan Mazzarella', 'Nuova Camorra Organizzata']",[]
Luppino crime family,Papalia crime family,Canada,Canada,True,2,5,"['Musitano crime family', 'Rizzuto crime family']",[]
Iron Horsemen Motorcycle Club,Mongols MC,United States,United States,True,2,5,"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']",['Outlaws Motorcycle Club']
Comanchero Motorcycle Club,Notorious MC,Australia,,,2,5,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Mongols MC,Notorious MC,United States,,,2,5,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Notorious MC,Rock Machine Motorcycle Club,,Canada,,2,5,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Notorious MC,Vagos Motorcycle Club,,United States,,2,5,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Rock Machine Motorcycle Club,Vagos Motorcycle Club,Canada,United States,False,2,5,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Satan's Choice Motorcycle Club,Vagos Motorcycle Club,Canada,United States,False,2,5,"['Hells Angels Motorcycle Club', 'Loners Motorcycle Club']",['Hells Angels Motorcycle Club']
Ah Kong,Shui Fong,Singapore,Hong Kong,False,2,5,"['14K', 'Wo Shing Wo']",[]
D.C. Blacks,Nuestra Familia,United States,United States,True,2,5,"['Aryan Brotherhood', 'Nazi Lowriders']",[]
Florencia 13,Mara Salvatrucha,United States,United States,True,4,5,"['18th Street Gang', 'Bloods', 'Crips', 'Norteños']",[]
Latin Kings,Mexican Mafia,United States,United States,True,3,5,"['Crips', 'Mara Salvatrucha', 'Tiny Rascal Gang']",['Mara Salvatrucha']
Mara Salvatrucha,United Blood Nation,United States,United States,True,3,5,"['Crips', 'Latin Kings', 'Ñetas']",[]
Mexican Mafia,Puro Tango Blast,United States,United States,True,3,5,"['Barrio Azteca', 'Crips', 'Texas Syndicate']",[]
Trinitarios,United Blood Nation,United States,United States,True,3,5,"['Crips', ""Dominicans Don't Play"", 'Ñetas']",[]
Dominicans Don't Play,Mara Salvatrucha,United States,United States,True,3,5,"['Bloods', 'Latin Kings', 'Ñetas']",['Latin Kings']
Dominicans Don't Play,Tiny Rascal Gang,United States,United States,True,3,5,"['Bloods', 'Latin Kings', 'Trinitarios']",['Latin Kings']
Barrio Azteca,Los Mazatlecos,United States,Mexico,False,2,5,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",[]
La Línea,Los Mazatlecos,Mexico,Mexico,True,2,5,"['Los Ántrax', 'Sinaloa Cartel']",[]
Cárteles Unidos,Los Ciclones,Mexico,Mexico,True,2,5,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Cárteles Unidos,Los Metros,Mexico,Mexico,True,2,5,"['Gulf Cartel', 'Los Zetas']",['Los Zetas']
Cárteles Unidos,Los Negros,Mexico,Mexico,True,4,5,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas']",['Los Zetas']
Los Ciclones,Mara Salvatrucha,Mexico,United States,False,3,5,"['Juárez Cartel', 'Los Zetas', 'Tijuana Cartel']",['Los Zetas']
Aryan Brotherhood,Fresno Bulldogs,United States,United States,True,3,5,"['Mexican Mafia', 'Norteños', 'Nuestra Familia']",['Mexican Mafia']
Cártel de los Rojos,Cártel del Noreste,Mexico,Mexico,True,4,5,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'La Familia Michoacana', 'Los Metros']",['Gulf Cartel']
National Liberation Army (Colombia),Oficina de Envigado,Colombia,Colombia,True,2,5,"['Clan del Golfo', 'Tren de Aragua']",['Clan del Golfo']
Almighty Insane Popes Nation,Maniac Latin Disciples,United States,United States,True,4,5,"['Almighty Black P. Stone Nation', 'Almighty Gaylords Nation', 'Latin Kings', 'Spanish Cobras']",[]
Crips,Maniac Latin Disciples,United States,United States,True,3,5,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'Latin Kings']",[]
Bloods,Los Zetas,United States,Mexico,False,3,5,"['18th Street Gang', 'Mara Salvatrucha', 'Mexican Mafia']",['Mara Salvatrucha']
Bloods,Sombra Negra,United States,El Salvador,False,2,5,"['18th Street Gang', 'Mara Salvatrucha']",[]
Cártel de los Rojos,La Unión Tepito,Mexico,Mexico,True,2,5,"['Cártel de Jalisco Nueva Generación', 'La Familia Michoacana']",['Cártel de Jalisco Nueva Generación']
Almighty Saints,Latin Counts,United States,United States,True,5,5,"['Gangster Two Six', 'La Raza Nation', 'Latin Kings', 'Maniac Latin Disciples', 'Satan Disciples']",['Latin Kings']
Black Gangster Disciples Nation,Ñetas,United States,Puerto Rico,False,2,5,"['Latin Kings', 'Trinitarios']",['Latin Kings']
Crips,Simon City Royals,United States,United States,True,3,5,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",[]
La Raza Nation,Spanish Cobras,United States,United States,True,3,5,"['Latin Kings', 'Maniac Latin Disciples', 'People Nation']",[]
Comanchero Motorcycle Club,Red Devils Motorcycle Club,Australia,Sweden,False,2,5,"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']",[]
Rebels Motorcycle Club,Red Devils Motorcycle Club,Australia,Sweden,False,2,5,"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']",[]
Almighty Gaylords Nation,Spanish Cobras,United States,United States,True,3,5,"['Almighty Insane Popes Nation', 'Maniac Latin Disciples', 'Simon City Royals']",['Simon City Royals']
Latin Kings,Satan Disciples,United States,,,4,5,"['Almighty Insane Popes Nation', 'Almighty Saints', 'Latin Counts', 'Taylor Street Jousters']",['Almighty Saints']
Maniac Latin Disciples,People Nation,United States,United States,True,5,5,"['Almighty Saints', 'La Raza Nation', 'Latin Eagles', 'Simon City Royals', 'Spanish Cobras']",['Latin Eagles']
Haydock Close Crew,Longsight Crew,,,,2,5,"['Gooch Close Gang', 'Old Trafford Cripz']",[]
Haydock Close Crew,Moss Side Bloods,,,,2,5,"['Gooch Close Gang', 'Old Trafford Cripz']",[]
Nuova Camorra Organizzata,Stidda,Italy,Italy,True,2,4,"['American Mafia', 'Sicilian Mafia']",['American Mafia']
'Ndrina Giuliano,Alfieri clan,Italy,Italy,True,2,4,"['Clan Licciardi', 'Nuova Camorra Organizzata']",['Clan Licciardi']
Commisso 'ndrina,Luppino crime family,Italy,Canada,False,2,4,"['Independent Soldiers', 'Rizzuto crime family']",[]
Kang crime family,Red Scorpions,,Canada,,3,4,"['Brothers Keepers', 'Independent Soldiers', 'Redd Alert']",['Independent Soldiers']
Bandidos Motorcycle Club,Mongrel Mob,United States,New Zealand,False,3,4,"['Gypsy Joker Motorcycle Club', 'Hells Angels Motorcycle Club', 'Mongols MC']",['Hells Angels Motorcycle Club']
Black Cobra,Comanchero Motorcycle Club,Denmark,Australia,False,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Black Cobra,Finks Motorcycle Club,Denmark,Australia,False,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Black Cobra,Gypsy Joker Motorcycle Club,Denmark,United States,False,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Black Cobra,Mongols MC,Denmark,United States,False,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Black Cobra,Notorious MC,Denmark,,,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Black Cobra,Rebels Motorcycle Club,Denmark,Australia,False,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Black Cobra,Rock Machine Motorcycle Club,Denmark,Canada,False,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Black Cobra,Vagos Motorcycle Club,Denmark,United States,False,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Diablos Motorcycle Club,Vagos Motorcycle Club,United States,United States,True,2,4,"['Hells Angels Motorcycle Club', 'Loners Motorcycle Club']",['Hells Angels Motorcycle Club']
Finks Motorcycle Club,Notorious MC,Australia,,,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Gypsy Joker Motorcycle Club,Notorious MC,United States,,,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Gypsy Joker Motorcycle Club,Rock Machine Motorcycle Club,United States,Canada,False,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Notorious MC,Outlaws Motorcycle Club,,United States,,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Notorious MC,Rebels Motorcycle Club,,Australia,,2,4,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Aryan Brotherhood,Pirus,United States,United States,True,2,4,"['Big Circle Gang', 'Crips']",['Crips']
Ah Kong,Sun Yee On,Singapore,Hong Kong,False,2,4,"['14K', 'Wo Shing Wo']",[]
Crips,D.C. Blacks,United States,United States,True,2,4,"['Aryan Brotherhood', 'Nazi Lowriders']",[]
18th Street Gang,Nazi Lowriders,United States,United States,True,4,4,"['Bloods', 'Crips', 'Mara Salvatrucha', 'Norteños']",['Norteños']
Aryan Brotherhood,Puro Tango Blast,United States,United States,True,2,4,"['Crips', 'Texas Syndicate']",[]
Bloods,Playboys,United States,,,4,4,"['18th Street Gang', '38th Street Gang', 'Crips', 'Florencia 13']",['Crips']
Bloods,Ñetas,United States,Puerto Rico,False,3,4,"['Crips', ""Dominicans Don't Play"", 'Mara Salvatrucha']",['Crips']
Mara Salvatrucha,Trinitarios,United States,United States,True,3,4,"['Crips', 'Tiny Rascal Gang', 'Ñetas']",[]
Nazi Lowriders,Tiny Rascal Gang,United States,United States,True,4,4,"['Bloods', 'Crips', 'Mara Salvatrucha', 'Norteños']",['Crips']
Tiny Rascal Gang,United Blood Nation,United States,United States,True,2,4,"['Crips', 'Latin Kings']",['Crips']
Asian Boyz,Mexican Mafia,United States,United States,True,3,4,"['Bloods', 'Fresno Bulldogs', 'Tiny Rascal Gang']",[]
Black Gangster Disciples Nation,Dominicans Don't Play,United States,United States,True,3,4,"['Bloods', 'Latin Kings', 'Trinitarios']",['Latin Kings']
Norteños,Texas Syndicate,United States,United States,True,2,4,"['Aryan Brotherhood', 'Mexican Mafia']",[]
Barrio Azteca,Guerreros Unidos,United States,Mexico,False,2,4,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Beltrán-Leyva Organization,Los Metros,Mexico,Mexico,True,3,4,"['Gulf Cartel', 'Los Rojos', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cártel de Caborca,La Línea,Mexico,Mexico,True,3,4,"['Cártel del Noreste', 'La Mayiza', 'Sinaloa Cartel']",[]
Guerreros Unidos,Los Ciclones,Mexico,Mexico,True,3,4,"['Cártel de Jalisco Nueva Generación', 'La Nueva Familia Michoacana', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Los Mazatlecos,Los Negros,Mexico,Mexico,True,3,4,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Sinaloa Cartel']
18th Street Gang,Venice Shoreline Crips,United States,United States,True,4,4,"['Culver City Boys', 'Playboys (gang)', 'Santa Monica 13', 'Venice 13']",['Venice 13']
18th Street Gang,Toonerville Rifa 13,United States,United States,True,4,4,"['Armenian Power', 'Mara Salvatrucha', 'The Avenues', 'Vineland Boys']",[]
Cártel de Santa Rosa de Lima,Los Ciclones,Mexico,Mexico,True,2,4,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Cárteles Unidos,Mara Salvatrucha,Mexico,United States,False,2,4,"['Beltrán-Leyva Organization', 'Los Zetas']",['Los Zetas']
Los Metros,Mara Salvatrucha,Mexico,United States,False,2,4,"['Los Rojos', 'Los Zetas']",['Los Zetas']
Los Metros,Milenio Cartel,Mexico,Mexico,True,2,4,"['Gulf Cartel', 'Los Zetas']",['Los Zetas']
Mara Salvatrucha,Milenio Cartel,United States,Mexico,False,3,4,"['Knights Templar Cartel', 'Los Zetas', 'Tijuana Cartel']",['Los Zetas']
Fresno Bulldogs,Mara Salvatrucha,United States,United States,True,2,4,"['Mexican Mafia', 'Norteños']",['Mexican Mafia']
Fresno Bulldogs,Tiny Rascal Gang,United States,United States,True,4,4,"['Asian Boyz', 'Menace of Destruction', 'Mexican Mafia', 'Norteños']",[]
Cárteles Unidos,Los Mazatlecos,Mexico,Mexico,True,2,4,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel']",[]
Guerreros Unidos,Milenio Cartel,Mexico,Mexico,True,3,4,"['Gulf Cartel', 'Knights Templar Cartel', 'La Familia Michoacana']",['La Familia Michoacana']
Los Paisas,National Liberation Army (Colombia),Colombia,Colombia,True,2,4,"['Clan del Golfo', 'Tren de Aragua']",['Clan del Golfo']
Los Zetas,Sombra Negra,Mexico,El Salvador,False,2,4,"['18th Street Gang', 'Mara Salvatrucha']",['Mara Salvatrucha']
Norteños,Sombra Negra,United States,El Salvador,False,2,4,"['18th Street Gang', 'Mara Salvatrucha']",['18th Street Gang']
Mara Salvatrucha,Vineland Boys,United States,United States,True,3,4,"['18th Street Gang', 'Mexican Mafia', 'Toonerville Rifa 13']",['Mexican Mafia']
Almighty Black P. Stone Nation,Almighty Saints,United States,United States,True,3,4,"['Black Gangster Disciples Nation', 'La Raza Nation', 'Maniac Latin Disciples']",[]
Cártel de los Rojos,Los Rojos,Mexico,Mexico,True,4,4,"['Cártel de Jalisco Nueva Generación', 'Guerreros Unidos', 'Los Ardillos', 'Los Metros']",['Guerreros Unidos']
Cártel del Noreste,La Nueva Familia Michoacana,Mexico,Mexico,True,3,4,"['Cártel de Jalisco Nueva Generación', 'La Familia Michoacana', 'Los Ciclones']",['La Familia Michoacana']
La Nueva Familia Michoacana,Tijuana Cartel,Mexico,Mexico,True,2,4,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']",['Cártel de Jalisco Nueva Generación']
Cártel Independiente de Sonora,La Mayiza,Mexico,,,3,4,"['Juárez Cartel', 'La Línea', 'Los Chapitos']",[]
Crips,Los Solidos,United States,United States,True,2,4,"['Latin Kings', 'Ñetas']",[]
Dominicans Don't Play,Los Solidos,United States,United States,True,2,4,"['Latin Kings', 'Ñetas']",['Latin Kings']
Los Solidos,United Blood Nation,United States,United States,True,2,4,"['Latin Kings', 'Ñetas']",[]
Almighty Insane Popes Nation,Almighty Saints,United States,United States,True,4,4,"['Gangster Two Six', 'Latin Kings', 'People Nation', 'Satan Disciples']",['Latin Kings']
Almighty Insane Popes Nation,Latin Counts,United States,United States,True,4,4,"['Gangster Two Six', 'Insane Deuces', 'Latin Kings', 'Satan Disciples']",[]
Black Gangster Disciples Nation,Latin Counts,United States,United States,True,2,4,"['La Raza Nation', 'Latin Kings']",[]
Black Gangster Disciples Nation,Spanish Cobras,United States,United States,True,3,4,"['Latin Eagles', 'Latin Kings', 'People Nation']",['Latin Eagles']
Crips,Latin Eagles,United States,United States,True,2,4,"['Latin Kings', 'People Nation']",[]
Latin Counts,Spanish Cobras,United States,United States,True,3,4,"['Latin Kings', 'Maniac Latin Disciples', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
19th of April Movement,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,2,4,"['Cartel de Medellín', 'Muerte a Secuestradores']",['Cartel de Medellín']
Black Cobra,Cossacks Motorcycle Club,Denmark,United States,False,2,4,"['Bandidos Motorcycle Club', 'Chicanos Motorcycle Club']",[]
Hezbollah,Kurdistan Workers' Party,Lebanon,Turkey,False,2,4,"['Al-Nusra Front', 'Islamic State']",[]
Hezbollah,Tahrir al-Sham,Lebanon,,,3,4,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']",[]
Houthis,Kurdistan Workers' Party,Yemen,Turkey,False,2,4,"['Al-Qaeda', 'Islamic State']",['Al-Qaeda']
Ambrose,Latin Kings,,United States,,3,4,"['Latin Counts', 'Maniac Latin Disciples', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Harrison Gents,Latin Kings,,United States,,4,4,"['Latin Eagles', 'Maniac Latin Disciples', 'Spanish Gangster Disciples', 'Taylor Street Jousters']",['Spanish Gangster Disciples']
Latin Kings,PR Stones,United States,,,4,4,"['Latin Eagles', 'Maniac Latin Disciples', 'Simon City Royals', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Los Lagartos,Los Lobos,Ecuador,Ecuador,True,2,4,"['Los Chone Killers', 'Los Choneros']",['Los Chone Killers']
Amigos dos Amigos,Primeiro Comando da Capital,Brazil,Brazil,True,2,4,"['Comando Vermelho', 'Primeiro Grupo Catarinense']",['Comando Vermelho']
Família do Norte,Massa Carcerária,Brazil,Brazil,True,2,4,"['Comando Vermelho', 'Guardiões do Estado']",['Comando Vermelho']
Autodefensas Campesinas de Casanare,Popular Liberation Army,Colombia,Colombia,True,2,4,"['Autodefensas Unidas de Colombia', 'National Liberation Army (Colombia)']",[]
Autodefensas Campesinas de Casanare,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,2,4,"['Autodefensas Unidas de Colombia', 'National Liberation Army (Colombia)']",['National Liberation Army (Colombia)']
Camorra,D'Aquila crime family,Italy,United States,False,2,3,"['116th Street Crew', 'Morello crime family']",[]
Clan Licciardi,Nuova Camorra Organizzata,Italy,Italy,True,3,3,"[""'Ndrina Giuliano"", 'Alfieri clan', 'Clan Mazzarella']","[""'Ndrina Giuliano""]"
Clan Mariano,Clan Mazzarella,Italy,Italy,True,2,3,"['Clan De Luca Bossa', 'Secondigliano Alliance']",[]
Clan Mariano,Clan Sarno,Italy,Italy,True,2,3,"['Clan De Luca Bossa', 'Secondigliano Alliance']",[]
Clan Lago,Clan Mazzarella,Italy,Italy,True,2,3,"['Aprea-Cuccaro clan', 'Clan De Luca Bossa']",[]
Clan Lago,Clan Sarno,Italy,Italy,True,2,3,"['Aprea-Cuccaro clan', 'Clan De Luca Bossa']",['Aprea-Cuccaro clan']
Buffalo crime family,Rizzuto crime family,United States,Canada,False,3,3,"['Bonanno crime family', 'Cotroni crime family', 'Siderno Group']",['Bonanno crime family']
10th & Oregon Crew,Hells Angels Motorcycle Club,United States,United States,True,2,3,"[""Pagan's Motorcycle Club"", 'Philadelphia crime family']",['Philadelphia crime family']
Breed Motorcycle Club,Sons of Satan Motorcycle Club,United States,United States,True,2,3,"['Hells Angels Motorcycle Club', ""Pagan's Motorcycle Club""]","[""Pagan's Motorcycle Club""]"
Outlaws Motorcycle Club,Sons of Satan Motorcycle Club,United States,United States,True,2,3,"['Hells Angels Motorcycle Club', ""Pagan's Motorcycle Club""]","[""Pagan's Motorcycle Club""]"
Bandidos Motorcycle Club,Galloping Goose Motorcycle Club,United States,United States,True,2,3,"['Outlaws Motorcycle Club', 'Vagos Motorcycle Club']",['Outlaws Motorcycle Club']
Galloping Goose Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,2,3,"['Outlaws Motorcycle Club', 'Vagos Motorcycle Club']",['Outlaws Motorcycle Club']
Galloping Goose Motorcycle Club,Mongols MC,United States,United States,True,2,3,"['Outlaws Motorcycle Club', 'Vagos Motorcycle Club']",['Outlaws Motorcycle Club']
Hells Angels Motorcycle Club,Invaders,United States,,,2,3,"['Outlaws Motorcycle Club', 'Sons of Silence']",['Sons of Silence']
Invaders,Loners Motorcycle Club,,Canada,,2,3,"['Outlaws Motorcycle Club', 'Sons of Silence']",['Outlaws Motorcycle Club']
Iron Horsemen Motorcycle Club,Red Devils Motorcycle Club,United States,Sweden,False,2,3,"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']",[]
Pagan's Motorcycle Club,Warlocks MC,United States,,,2,3,"['Breed Motorcycle Club', 'Outlaws Motorcycle Club']",['Outlaws Motorcycle Club']
Alkhalil family,Independent Soldiers,Palestine,Canada,False,2,3,"['Dhak-Duhre group', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Black Cobra,Loyal to Familia,Denmark,Denmark,True,3,3,"['AK81', 'Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Black Cobra,Outlaws Motorcycle Club,Denmark,United States,False,2,3,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Finks Motorcycle Club,Mongrel Mob,Australia,New Zealand,False,3,3,"['Coffin Cheaters', 'Hells Angels Motorcycle Club', 'Mongols MC']",[]
Highway 61 Motorcycle Club,Mongrel Mob,New Zealand,New Zealand,True,2,3,"['Hells Angels Motorcycle Club', 'New Zealand Nomads']",[]
Mongrel Mob,Outlaws Motorcycle Club,New Zealand,United States,False,2,3,"['Hells Angels Motorcycle Club', 'Mongols MC']",['Mongols MC']
Mongrel Mob,Vagos Motorcycle Club,New Zealand,United States,False,2,3,"['Hells Angels Motorcycle Club', 'Mongols MC']",[]
Outlaws Motorcycle Club,Rebels Motorcycle Club,United States,Australia,False,2,3,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Colombo crime family,Rudaj Organization,United States,United States,True,2,3,"['Gambino crime family', 'Lucchese crime family']",['Gambino crime family']
Lucchese crime family,Westies,United States,United States,True,2,3,"['Colombo crime family', 'Genovese crime family']",['Genovese crime family']
110ers,Byrd Gang,United States,United States,True,2,3,"['39ers gang', 'Young Melph Mafia']",['39ers gang']
14K,Sin Ma gang,China,,,2,3,"['Ah Kong', 'Big Circle Gang']",[]
Aryan Brotherhood,Aryan Circle,United States,United States,True,2,3,"['Aryan Brotherhood of Texas', 'Big Circle Gang']",[]
Bloods,East Side Longos,United States,,,3,3,"['Asian Boyz', 'Big Circle Gang', 'Tiny Rascal Gang']",[]
Ah Kong,Big Circle Gang,Singapore,China,False,2,3,"['14K', 'Sin Ma gang']",[]
Big Circle Gang,Norteños,China,United States,False,3,3,"['Aryan Brotherhood', 'Nazi Lowriders', 'Soldiers of Aryan Culture']",[]
Black Guerrilla Family,Mara Salvatrucha,United States,United States,True,2,3,"['Mexican Mafia', 'Nazi Lowriders']",['Mexican Mafia']
Mara Salvatrucha,Nuestra Familia,United States,United States,True,2,3,"['Mexican Mafia', 'Nazi Lowriders']",['Mexican Mafia']
18th Street Gang,Aryan Brotherhood,United States,United States,True,3,3,"['Almighty Black P. Stone Nation', 'Crips', 'Norteños']",['Norteños']
18th Street Gang,Ñetas,United States,Puerto Rico,False,2,3,"['Crips', 'Mara Salvatrucha']",[]
Almighty Black P. Stone Nation,Mexican Mafia,United States,United States,True,2,3,"['Aryan Brotherhood', 'Crips']",['Aryan Brotherhood']
Aryan Brotherhood,Mara Salvatrucha,United States,United States,True,3,3,"['Crips', 'Mexican Mafia', 'Norteños']",['Mexican Mafia']
Big Circle Gang,Mexican Mafia,China,United States,False,3,3,"['Aryan Brotherhood', 'Bloods', 'Crips']",['Aryan Brotherhood']
Big Circle Gang,Tiny Rascal Gang,China,United States,False,3,3,"['Bloods', 'Crips', 'East Side Longos']",['Crips']
Bloods,Santa Monica 13,United States,United States,True,2,3,"['18th Street Gang', 'Crips']",['Crips']
Florencia 13,Nazi Lowriders,United States,United States,True,3,3,"['Bloods', 'Crips', 'Norteños']",[]
Florencia 13,Santa Monica 13,United States,United States,True,2,3,"['18th Street Gang', 'Crips']",[]
