a,b,country_a,country_b,same_country,n_items,score,items,opposing
Loyal to Familia,Rebels Motorcycle Club,Denmark,Australia,False,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Loyal to Familia,Road Tramps MC,Denmark,,,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Loyal to Familia,Rock Machine Motorcycle Club,Denmark,Canada,False,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Loyal to Familia,Vagos Motorcycle Club,Denmark,United States,False,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Manitoba Warriors,Red Scorpions,Canada,Canada,True,2,2,"['Hells Angels Motorcycle Club', 'Redd Alert']",['Hells Angels Motorcycle Club']
Manitoba Warriors,United Nations (gang),Canada,Canada,True,2,2,"['Hells Angels Motorcycle Club', 'Redd Alert']",['Hells Angels Motorcycle Club']
Mexican Mafia,Red Scorpions,United States,Canada,False,2,2,"['Hells Angels Motorcycle Club', 'Tiny Rascal Gang']",['Hells Angels Motorcycle Club']
Mongols MC,New Zealand Nomads,United States,New Zealand,False,2,2,"['Hells Angels Motorcycle Club', 'Mongrel Mob']",['Hells Angels Motorcycle Club']
Mongols MC,Road Tramps MC,United States,,,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Mongols MC,Tribesmen Motorcycle Club,United States,New Zealand,False,2,2,"['Hells Angels Motorcycle Club', 'Mongrel Mob']",['Hells Angels Motorcycle Club']
Notorious MC,Road Tramps MC,,,,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Outlaws Motorcycle Club,Road Tramps MC,United States,,,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Rebels Motorcycle Club,Road Tramps MC,Australia,,,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Road Tramps MC,Rock Machine Motorcycle Club,,Canada,,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Bandidos Motorcycle Club']
Road Tramps MC,Vagos Motorcycle Club,,United States,,2,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Sons of Silence,Vagos Motorcycle Club,United States,United States,True,2,2,"['Hells Angels Motorcycle Club', 'Loners Motorcycle Club']",['Hells Angels Motorcycle Club']
Crips,East Side Longos,United States,,,2,2,"['Big Circle Gang', 'Tiny Rascal Gang']",['Tiny Rascal Gang']
Nazi Lowriders,Pirus,United States,United States,True,2,2,"['Big Circle Gang', 'Crips']",['Crips']
Nazi Lowriders,Soldiers of Aryan Culture,United States,United States,True,2,2,"['Big Circle Gang', 'Norteños']",[]
Big Circle Gang,Black Guerrilla Family,China,United States,False,2,2,"['Aryan Brotherhood', 'Nazi Lowriders']",[]
Big Circle Gang,D.C. Blacks,China,United States,False,2,2,"['Aryan Brotherhood', 'Nazi Lowriders']",[]
Big Circle Gang,Nuestra Familia,China,United States,False,2,2,"['Aryan Brotherhood', 'Nazi Lowriders']",[]
D.C. Blacks,Norteños,United States,United States,True,2,2,"['Aryan Brotherhood', 'Nazi Lowriders']",[]
18th Street Gang,Big Circle Gang,United States,China,False,2,2,"['Bloods', 'Crips']",[]
18th Street Gang,OVS,United States,United States,True,2,2,"['Bloods', 'Crips']",[]
Almighty Black P. Stone Nation,Big Circle Gang,United States,China,False,2,2,"['Aryan Brotherhood', 'Crips']",[]
Almighty Black P. Stone Nation,Florencia 13,United States,United States,True,2,2,"['18th Street Gang', 'Crips']",[]
Almighty Black P. Stone Nation,Mara Salvatrucha,United States,United States,True,2,2,"['18th Street Gang', 'Crips']",[]
Almighty Black P. Stone Nation,Playboys,United States,,,2,2,"['18th Street Gang', 'Crips']",[]
Almighty Black P. Stone Nation,Santa Monica 13,United States,United States,True,2,2,"['18th Street Gang', 'Crips']",[]
Almighty Black P. Stone Nation,Sex Money Murder,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Crips']",[]
Almighty Black P. Stone Nation,Trinitarios,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Crips']",[]
Almighty Black P. Stone Nation,Venice 13,United States,United States,True,2,2,"['18th Street Gang', 'Crips']",['18th Street Gang']
Almighty Vice Lord Nation,Sex Money Murder,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Crips']",[]
Almighty Vice Lord Nation,Trinitarios,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Crips']",[]
Aryan Brotherhood,Florencia 13,United States,United States,True,2,2,"['Crips', 'Norteños']",[]
Aryan Brotherhood,Sex Money Murder,United States,United States,True,2,2,"['Black Guerrilla Family', 'Crips']",[]
Big Circle Gang,Florencia 13,China,United States,False,2,2,"['Bloods', 'Crips']",[]
Big Circle Gang,OVS,China,United States,False,2,2,"['Bloods', 'Crips']",[]
Florencia 13,OVS,United States,United States,True,2,2,"['Bloods', 'Crips']",[]
Florencia 13,Venice 13,United States,United States,True,2,2,"['18th Street Gang', 'Crips']",['18th Street Gang']
Latin Kings,Nazi Lowriders,United States,United States,True,2,2,"['Crips', 'Mara Salvatrucha']",[]
Latin Kings,Sex Money Murder,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Crips']",[]
Mara Salvatrucha,OVS,United States,United States,True,2,2,"['Bloods', 'Crips']",[]
Mara Salvatrucha,Playboys,United States,,,2,2,"['18th Street Gang', 'Crips']",[]
Mara Salvatrucha,Venice 13,United States,United States,True,2,2,"['18th Street Gang', 'Crips']",['18th Street Gang']
Mexican Mafia,Sex Money Murder,United States,United States,True,2,2,"['Black Guerrilla Family', 'Crips']",[]
Mexican Mafia,Trinitarios,United States,United States,True,2,2,"['Crips', 'Tiny Rascal Gang']",[]
