a,b,country_a,country_b,same_country,n_items,items,opposing
'Ndrina Marando,'Ndrina Trovato,Italy,Italy,True,3,"[""'Ndrina Barbaro"", ""'Ndrina Papalia"", ""Sergi 'ndrina""]",[]
'Ndrina Trovato,Molluso 'ndrina,Italy,Italy,True,3,"[""'Ndrina Barbaro"", ""'Ndrina Papalia"", ""Sergi 'ndrina""]",[]
'Ndrina Trovato,Trimboli 'ndrina,Italy,Italy,True,3,"[""'Ndrina Barbaro"", ""'Ndrina Papalia"", ""Sergi 'ndrina""]",[]
'Ndrina Belfiore,Aquino 'ndrina,Italy,Italy,True,3,"[""'Ndrina Lo Presti"", ""'Ndrina Piromalli"", ""'Ndrina Ursino""]",[]
'Ndrina Belfiore,Commisso 'ndrina,Italy,Italy,True,3,"[""'Ndrina Lo Presti"", ""'Ndrina Piromalli"", ""'Ndrina Ursino""]","[""'Ndrina Piromalli""]"
'Ndrina Costa,'Ndrina Pesce,Italy,Italy,True,3,"[""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""'Ndrina Piromalli""]",[]
'Ndrina Pesce,Clan dei Casamonica,Italy,Italy,True,3,"[""'Ndrina Alvaro"", ""'Ndrina Molè"", ""'Ndrina Piromalli""]",[]
'Ndrina Barbaro,'Ndrina Ierinò,Italy,Italy,True,3,"[""'Ndrina Cataldo"", ""'Ndrina Lo Presti"", ""'Ndrina Mazzaferro""]","[""'Ndrina Mazzaferro""]"
'Ndrina Barbaro,Commisso 'ndrina,Italy,Italy,True,3,"[""'Ndrina Cataldo"", ""'Ndrina Lo Presti"", ""'Ndrina Mazzaferro""]",[]
'Ndrina Palamara,Commisso 'ndrina,Italy,Italy,True,3,"[""'Ndrina Alvaro"", ""'Ndrina Lo Presti"", ""'Ndrina Mandalari""]",[]
'Ndrina Condello,Latella 'ndrina,Italy,Italy,True,3,"[""'Ndrina Barreca"", ""'Ndrina Libri"", ""'Ndrina Rosmini""]","[""'Ndrina Barreca""]"
'Ndrina Morabito,'Ndrina Romeo,Italy,Italy,True,3,"[""'Ndrina Codispoti"", ""'Ndrina Giorgi"", ""'Ndrina Mandalari""]",[]
Cesarano clan,Clan Di Lauro,Italy,Italy,True,3,"[""Clan D'Alessandro"", 'Contini clan', 'Mallardo clan']",[]
Aprea-Cuccaro clan,Clan Marfella,Italy,,,3,"['Clan De Luca Bossa', 'Clan Sarno', 'Secondigliano Alliance']",['Clan Sarno']
Clan Di Lauro,Rinaldi clan,Italy,Italy,True,3,"[""'Ndrina Giuliano"", 'Contini clan', 'Secondigliano Alliance']",[]
Clan Licciardi,Rinaldi clan,Italy,Italy,True,3,"[""'Ndrina Giuliano"", 'Contini clan', 'Secondigliano Alliance']","[""'Ndrina Giuliano""]"
'Ndrina Giglio,'Ndrina Pane,Italy,Italy,True,3,"[""'Ndrina Farao-Marincola"", ""'Ndrina Grande Aracri"", ""'Ndrina Mannolo""]",[]
Colorado crime family,Dallas crime family,United States,United States,True,3,"['Chicago Outfit', 'Kansas City crime family', 'New Orleans crime family']",[]
Kansas City crime family,Outlaws Motorcycle Club,United States,United States,True,3,"['Chicago Outfit', 'New Orleans crime family', 'Pittsburgh crime family']",[]
Bonanno crime family,Kansas City crime family,United States,United States,True,3,"['Chicago Outfit', 'Colorado crime family', 'Milwaukee crime family']",[]
Bloods,Mickey Cobras,United States,United States,True,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']",['Almighty Vice Lord Nation']
Four Corner Hustlers,Mickey Cobras,United States,United States,True,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']",['Almighty Vice Lord Nation']
Latin Kings,Mickey Cobras,United States,United States,True,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']",['Almighty Vice Lord Nation']
Asano-gumi,Shinwa-kai,Japan,Japan,True,3,"['Goda-ikka', 'Kyodo-kai', 'Kyosei-kai']",['Kyodo-kai']
Chichesters,Shirt Tails,United States,United States,True,3,"['Dead Rabbits', 'Forty Thieves', 'Kerryonians']",[]
Forty Elephants,Forty Thieves,United Kingdom,United States,False,3,"['Dead Rabbits', 'Kerryonians', 'Shirt Tails']",[]
Campanella Park Piru,Elm Street Piru,,United States,,3,"['Cedar Block Piru', 'Fruit Town Piru', 'Tree Top Piru']",[]
Campanella Park Piru,West Side Piru,,,,3,"['Cedar Block Piru', 'Fruit Town Piru', 'Tree Top Piru']",[]
Elm Street Piru,West Side Piru,United States,,,3,"['Cedar Block Piru', 'Fruit Town Piru', 'Tree Top Piru']",[]
