a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Guerreros Unidos,Los Mazatlecos,Mexico,Mexico,True,2,"['Juárez Cartel', 'Los Zetas']",3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']"
Florencia 13,Mara Salvatrucha,United States,United States,True,1,['Temple Street gang'],4,"['18th Street Gang', 'Bloods', 'Crips', 'Norteños']"
Musitano crime family,Wolfpack Alliance,Canada,Canada,True,4,"['Hells Angels Motorcycle Club', 'Independent Soldiers', 'Rizzuto crime family', 'West End Gang']",1,['Siderno Group']
Mexican Mafia,Pagan's Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Gambino crime family', 'Mongols MC']",1,['Hells Angels Motorcycle Club']
Beltrán-Leyva Organization,Mexican Mafia,Mexico,United States,False,3,"['18th Street Gang', 'Sinaloa Cartel', 'Tijuana Cartel']",1,['Mara Salvatrucha']
Cártel de Colima,Mara Salvatrucha,Mexico,United States,False,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",2,"['Juárez Cartel', 'Tijuana Cartel']"
La Familia Michoacana,Tren de Aragua,Mexico,Venezuela,False,2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']",2,"['Fuerza Anti-Unión', 'La Unión Tepito']"
Cartel del Norte del Valle,Martinez Familia Sangeros,Colombia,Puerto Rico,False,3,"['Cali Cartel', 'Guadalajara Cartel', 'Los Pepes']",1,['Cartel de Medellín']
Cártel de Santa Rosa de Lima,La Nueva Familia Michoacana,Mexico,Mexico,True,3,"['Cárteles Unidos', 'Los Viagras', 'Sinaloa Cartel']",1,['Cártel de Jalisco Nueva Generación']
Alkhalil family,Independent Soldiers,Palestine,Canada,False,2,"['Sinaloa Cartel', 'Wolfpack Alliance']",2,"['Dhak-Duhre group', 'Hells Angels Motorcycle Club']"
Los Choneros,Los Zetas,Ecuador,Mexico,False,3,"[""'Ndrangheta"", 'Clan del Golfo', 'Sinaloa Cartel']",1,['Cártel de Jalisco Nueva Generación']
Crips,Maniac Latin Disciples,United States,United States,True,1,['Black Gangster Disciples Nation'],3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'Latin Kings']"
Clan Licciardi,Nuova Camorra Organizzata,Italy,Italy,True,1,"[""'Ndrangheta""]",3,"[""'Ndrina Giuliano"", 'Alfieri clan', 'Clan Mazzarella']"
Martinez Familia Sangeros,Tijuana Cartel,Puerto Rico,Mexico,False,3,"['Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel']",1,['Gulf Cartel']
Bloods,Sinaloa Cartel,United States,Mexico,False,3,"['American Mafia', 'Crips', 'Latin Kings']",1,['18th Street Gang']
Hells Angels Motorcycle Club,Mara Salvatrucha,United States,United States,True,2,"['Mexican Mafia', 'Sinaloa Cartel']",2,"['Mexican Mafia', 'Zoe Pound']"
Latin Kings,Native Mob,United States,United States,True,3,"['Almighty Vice Lord Nation', 'Bloods', 'People Nation']",1,['Black Gangster Disciples Nation']
Clan D'Alessandro,Clan dei Casalesi,Italy,Italy,True,3,"[""'Ndrina Bellocco"", ""'Ndrina Pesce"", 'Nuova Famiglia']",1,['Alfieri clan']
Imperial Gangsters,Latin Kings,,United States,,1,['Spanish Gangster Disciples'],3,"['Latin Counts', 'Simon City Royals', 'Spanish Gangster Disciples']"
Mara Salvatrucha,Vineland Boys,United States,United States,True,1,['Sinaloa Cartel'],3,"['18th Street Gang', 'Mexican Mafia', 'Toonerville Rifa 13']"
Cali Cartel,Oficina de Envigado,Colombia,Colombia,True,3,"['Cartel de Medellín', 'Los Pepes', 'Sinaloa Cartel']",1,['Cartel de Medellín']
Asano-gumi,Shinwa-kai,Japan,Japan,True,3,"['Goda-ikka', 'Kyodo-kai', 'Kyosei-kai']",1,['Yamaguchi-gumi']
Los Metros,Mara Salvatrucha,Mexico,United States,False,2,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",2,"['Los Rojos', 'Los Zetas']"
Harakat Hezbollah al-Nujaba,Hezbollah,,Lebanon,,1,['Houthis'],3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']"
Almighty Insane Popes Nation,Black Gangster Disciples Nation,United States,United States,True,1,['Simon City Royals'],3,"['Almighty Black P. Stone Nation', 'Latin Kings', 'People Nation']"
'Ndrina Condello,Latella 'ndrina,Italy,Italy,True,3,"[""'Ndrina Barreca"", ""'Ndrina Libri"", ""'Ndrina Rosmini""]",1,"[""'Ndrina Barreca""]"
Barrio Azteca,Los Mazatlecos,United States,Mexico,False,2,"['Juárez Cartel', 'Los Zetas']",2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']"
Mexican Mafia,Puro Tango Blast,United States,United States,True,1,['Gulf Cartel'],3,"['Barrio Azteca', 'Crips', 'Texas Syndicate']"
Los Ciclones,Mara Salvatrucha,Mexico,United States,False,1,['Cártel de Jalisco Nueva Generación'],3,"['Juárez Cartel', 'Los Zetas', 'Tijuana Cartel']"
Guerreros Unidos,La Línea,Mexico,Mexico,True,3,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Los Zetas']",1,['Sinaloa Cartel']
Lucchese crime family,Westies,United States,United States,True,2,"['DeMeo crew', 'Gambino crime family']",2,"['Colombo crime family', 'Genovese crime family']"
Bandidos Motorcycle Club,Dirty Dozen Motorcycle Club,United States,United States,True,2,"['Hells Angels Motorcycle Club', 'Loners Motorcycle Club']",2,"['Mongols MC', 'Vagos Motorcycle Club']"
Guadalajara Cartel,La Familia Michoacana,Mexico,Mexico,True,3,"['Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",1,['Gulf Cartel']
Beltrán-Leyva Organization,Logan Heights Gang,Mexico,United States,False,2,"['18th Street Gang', 'Tijuana Cartel']",2,"['Mara Salvatrucha', 'Sinaloa Cartel']"
Cártel de Caborca,Los Mazatlecos,Mexico,Mexico,True,1,['Juárez Cartel'],3,"['Gulf Cartel', 'Los Chapitos', 'Sinaloa Cartel']"
Big Circle Gang,Hells Angels Motorcycle Club,China,United States,False,3,"[""'Ndrangheta"", 'American Mafia', 'Rizzuto crime family']",1,['Aryan Brotherhood']
Bloods,Mickey Cobras,United States,United States,True,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']",1,['Black Gangster Disciples Nation']
Clan Cappello,Corleonesi,Italy,Italy,True,3,"[""'Ndrangheta"", 'Alfieri clan', 'Camorra']",1,['Sicilian Mafia']
Revolutionary Armed Forces of Colombia,Tren de Aragua,Colombia,Venezuela,False,3,"['Comando Vermelho', 'Cártel de Jalisco Nueva Generación', 'Primeiro Comando da Capital']",1,['National Liberation Army (Colombia)']
Cártel de Caborca,La Línea,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],3,"['Cártel del Noreste', 'La Mayiza', 'Sinaloa Cartel']"
Mara Salvatrucha,White Fence,United States,United States,True,2,"['Mexican Mafia', 'Temple Street gang']",2,"['Armenian Power', 'Norteños']"
Beltrán-Leyva Organization,Yakuza,Mexico,Japan,False,3,"['Cártel de Jalisco Nueva Generación', 'Los Viagras', 'Sinaloa Cartel']",1,['Cárteles Unidos']
Gambino crime family,Greco Mafia clan,United States,Italy,False,3,"['Corleonesi', 'Inzerillo Mafia clan', 'Sicilian Mafia']",1,['Palermo Centro Mafia family']
Oficina de Envigado,Popular Liberation Army,Colombia,Colombia,True,3,"['Ejército Revolucionario Popular Antisubversivo de Colombia', 'Los Rastrojos', 'Sinaloa Cartel']",1,['Clan del Golfo']
Clan Licciardi,Rinaldi clan,Italy,Italy,True,3,"[""'Ndrina Giuliano"", 'Contini clan', 'Secondigliano Alliance']",1,['Clan Mazzarella']
Harakat Hezbollah al-Nujaba,Liwa Fatemiyoun,,,,1,['Houthis'],3,"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']"
