a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Clan Matrone,Vollaro clan,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Juárez Cartel,Wolfpack Alliance,Mexico,Canada,False,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Temple Street gang,Venice 13,United States,United States,True,1,['Mexican Mafia'],1,['18th Street Gang']
Mongols MC,White Fence,United States,United States,True,1,['Mexican Mafia'],1,['Norteños']
Gulf Cartel,Norteños,Mexico,United States,False,1,['Latin Kings'],1,['18th Street Gang']
Desperados Motorcycle Club,Original Red Devils Motorcycle Club,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Desperados Motorcycle Club,Iron Horsemen Motorcycle Club,,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Giuliano,Clan Matrone,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Grey Wolves,Taliban,Turkey,Afghanistan,False,1,['Turkistan Islamic Party'],1,['Islamic State']
Clan Gionta,Contini clan,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Aryan Brotherhood,Para-Dice Riders,United States,,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Indian Posse,New Zealand Nomads,Canada,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Aryan Brotherhood,Logan Heights Gang,United States,United States,True,1,['Mexican Mafia'],1,['Norteños']
Nueva Plaza Cartel,Tijuana Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Loners Motorcycle Club,Popeye Moto Club,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,"[""Satan's Choice Motorcycle Club""]"
Cárteles Unidos,Los Mexicles,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Gulf Cartel']
Florencia 13,White Fence,United States,United States,True,1,['Temple Street gang'],1,['Norteños']
Carones 'ndrina,Piserà 'ndrina,,Italy,,1,"[""'Ndrina Mancuso""]",1,"[""'Ndrina La Rosa""]"
Beltrán-Leyva Organization,Crips,Mexico,United States,False,1,['Sinaloa Cartel'],1,['Mara Salvatrucha']
Ejército Revolucionario Popular Antisubversivo de Colombia,Los Caparrapos,Colombia,Colombia,True,1,['Oficina de Envigado'],1,['Clan del Golfo']
Juárez Cartel,Los Ántrax,Mexico,Mexico,True,1,['Los Chapitos'],1,['Los Zetas']
Comanchero Motorcycle Club,Para-Dice Riders,Australia,,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
'Ndrina Grande Aracri,'Ndrina Maesano,Italy,Italy,True,1,"[""'Ndrina Arena""]",1,"[""'Ndrina Arena""]"
Devils Diciples Motorcycle Club,Hell's Henchmen MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Gullace,Raso,,,,1,"[""'Ndrina Piromalli""]",1,"[""'Ndrina Facchineri""]"
Latin Kings,Los Rojos,United States,Mexico,False,1,['Sinaloa Cartel'],1,['Mara Salvatrucha']
Devils Diciples Motorcycle Club,Warlocks Motorcycle Club (Florida),United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Galloping Goose Motorcycle Club,Warlocks MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Condello,'Ndrina Piromalli,Italy,Italy,True,1,"[""'Ndrina Serraino""]",1,"[""'Ndrina De Stefano""]"
Bala na Cara,Bonde dos 40,Brazil,Brazil,True,1,['Comando Vermelho'],1,['Primeiro Comando da Capital']
Diablos Motorcycle Club,Original Red Devils Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Terceiro Comando Puro,Tren de Aragua,Brazil,Venezuela,False,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Mongols MC,Savage Skulls,United States,United States,True,1,['Ghetto Brothers'],1,['Dirty Dozen Motorcycle Club']
Hell's Henchmen MC,Satan's Choice Motorcycle Club,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Longsight Street Soldiers,Old Trafford Cripz,,,,1,['Gooch Close Gang'],1,['Longsight Crew']
Família Terror do Amapá,Terceiro Comando Puro,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Mexican Mafia,Tongan Crip Gang,United States,United States,True,1,['18th Street Gang'],1,['Mara Salvatrucha']
Bonde do Maluco,Família Terror do Amapá,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Fuerza Anti-Unión,Tijuana Cartel,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Cartel de La Guajira,Sinaloa Cartel,Colombia,Mexico,False,1,['Autodefensas Unidas de Colombia'],1,['Tren de Aragua']
Latin Kings,National Liberation Army (Colombia),United States,Colombia,False,1,['Sinaloa Cartel'],1,['Tren de Aragua']
Satan's Choice Motorcycle Club,Satudarah,Canada,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Annihilators Motorcycle Club,Satan's Choice Motorcycle Club,Canada,Canada,True,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Chicanos Motorcycle Club,X-Team,Germany,Denmark,False,1,['Bandidos Motorcycle Club'],1,['Black Cobra']
Hamas,Liwa Fatemiyoun,Palestine,,,1,['Houthis'],1,['Islamic State']
Bandidos Motorcycle Club,Tribesmen Motorcycle Club,United States,New Zealand,False,1,['New Zealand Nomads'],1,['Hells Angels Motorcycle Club']
American Mafia,Clan Gionta,United States,Italy,False,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Miri clan,Rockers Motor Club,Germany,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Contini clan,Sacra Corona Unita,Italy,Italy,True,1,['Clan Di Lauro'],1,['Nuova Camorra Organizzata']
La Raza Nation,Tiny Rascal Gang,United States,United States,True,1,['Crips'],1,['Latin Kings']
Comanchero Motorcycle Club,White Boy Posse,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Remo Lecce Libera,Società foggiana,,Italy,,1,"[""'Ndrangheta""]",1,['Sacra Corona Unita']
Clan Laudani,Stidda,,Italy,,1,['Clan dei Cursoti'],1,['Sicilian Mafia']
Aryan Brotherhood,Manitoba Warriors,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Coffin Cheaters,Road Knights Motorcycle Club,Australia,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Mongrel Mob']
Clan Fabbrocino,Nuova camorra pugliese,Italy,Italy,True,1,"[""'Ndrangheta""]",1,['Nuova Camorra Organizzata']
'Ndrina Piromalli,Condello-Rosmini-Imerti,Italy,,,1,"[""'Ndrina Alvaro""]",1,"[""'Ndrina De Stefano""]"
18th Street Gang,Dominicans Don't Play,United States,United States,True,1,['Latin Kings'],1,['Bloods']
El Forastero Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Breed Motorcycle Club,Outcasts MC,United States,,,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Breed Motorcycle Club,Gypsy Joker Motorcycle Club,United States,United States,True,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Kerryonians,Plug Uglies,United States,United States,True,1,['Dead Rabbits'],1,['Bowery Boys']
Pirus,Tiny Rascal Gang,United States,United States,True,1,['Crips'],1,['Crips']
Contini clan,Sicilian Mafia,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Bonanno crime family,Velentzas Organization,United States,United States,True,1,['Lucchese crime family'],1,['Gambino crime family']
Comanchero Motorcycle Club,Manitoba Warriors,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Avenues,Mara Salvatrucha,United States,United States,True,1,['Sinaloa Cartel'],1,['18th Street Gang']
Sicilian Mafia,Vollaro clan,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Indian Posse,Loners Motorcycle Club,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Fallowfield Mandem,Rusholme Crew Gangsters,,,,1,['Gooch Close Gang'],1,['Doddington gang']
Comando Vermelho,Los Tiguerones,Brazil,Ecuador,False,1,['Tren de Aragua'],1,['Tren de Aragua']
Devils Diciples Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Cracolici,'Ndrina Mancuso,Italy,Italy,True,1,"[""'Ndrina Anello""]",1,"[""'Ndrina Bonavota""]"
American Mafia,Clan Nuvoletta,United States,Italy,False,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Santa Maria di Gesù Family,Stidda,,Italy,,1,['Camorra'],1,['Corleonesi']
American Mafia,Vollaro clan,United States,Italy,False,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Brothers for Life,Hells Angels Motorcycle Club,Australia,United States,False,1,['Bandidos Motorcycle Club'],1,['Finks Motorcycle Club']
'Ndrina Giuliano,Clan De Luca Bossa,Italy,Italy,True,1,['Rinaldi clan'],1,['Clan Mazzarella']
Colombo crime family,Genovese crime family New Jersey faction,United States,United States,True,1,['Lucchese crime family New Jersey faction'],1,['Gambino crime family']
Família do Norte,Tren de Aragua,Brazil,Venezuela,False,1,['Comando Vermelho'],1,['Comando Vermelho']
Organización Beltrán Leyva,Wolfpack Alliance,,Canada,,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Diablos Motorcycle Club,Rock Machine Motorcycle Club,United States,Canada,False,1,['Bandidos Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Hells Angels Motorcycle Club,Kang crime family,United States,,,1,['United Nations (gang)'],1,['Independent Soldiers']
Cártel de Tepalcatepec,Los Correa,Mexico,,,1,['Cárteles Unidos'],1,['Cártel de Jalisco Nueva Generación']
Clan D'Alessandro,Clan Gionta,Italy,Italy,True,1,['Nuova Famiglia'],1,['Alfieri clan']
Armenian Power,Venice 13,United States,United States,True,1,['Mexican Mafia'],1,['18th Street Gang']
'Ndrina Piromalli,Clan Licciardi,Italy,Italy,True,1,"[""Commisso 'ndrina""]",1,"[""'Ndrina Giuliano""]"
Juárez Cartel,Tongan Crip Gang,Mexico,United States,False,1,['18th Street Gang'],1,['Mara Salvatrucha']
'Ndrina Giuliano,Sacra Corona Unita,Italy,Italy,True,1,['Clan Di Lauro'],1,['Nuova Camorra Organizzata']
19th of April Movement,Cali Cartel,Colombia,Colombia,True,1,['Cartel de Medellín'],1,['Cartel de Medellín']
Chiapas–Guatemala Cartel,Tijuana Cartel,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Galloping Goose Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Juárez Cartel,Los Choneros,Mexico,Ecuador,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Clan Brunetti,Vollaro clan,,Italy,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Família do Norte,Primeiro Grupo Catarinense,Brazil,Brazil,True,1,['Comando Vermelho'],1,['Primeiro Comando da Capital']
Bala na Cara,Família do Norte,Brazil,Brazil,True,1,['Comando Vermelho'],1,['Primeiro Comando da Capital']
La Empresa,Los Lobos,Colombia,Ecuador,False,1,['Tren de Aragua'],1,['Sinaloa Cartel']
Original Red Devils Motorcycle Club,Red Devils Motorcycle Club,Canada,Sweden,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Bonde do Maluco,Bonde dos 13,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
'Ndrina Condello,'Ndrina Iamonte,Italy,Italy,True,1,"[""'Ndrina Serraino""]",1,"[""'Ndrina Barreca""]"
Bandidos Motorcycle Club,Devils Diciples Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Independent Soldiers,Sons of Silence,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
La Familia Michoacana,Nueva Plaza Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
'Ndrina Giuliano,Sicilian Mafia,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
La Raza Nation,OutLaw Gangster Disciples,United States,United States,True,1,['Crips'],1,['People Nation']
Bacon Brothers,Dhak-Duhre group,Canada,,,1,['United Nations (gang)'],1,['Wolfpack Alliance']
La Empresa,Mara Salvatrucha,Colombia,United States,False,1,['Tren de Aragua'],1,['Juárez Cartel']
Los Ciclones,Los Viagras,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Cártel de Jalisco Nueva Generación']
Maniac Latin Disciples,Tiny Rascal Gang,United States,United States,True,1,['Black Gangster Disciples Nation'],1,['Latin Kings']
Diablos Motorcycle Club,Manitoba Warriors,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Norteños,Outlaws Motorcycle Club,United States,United States,True,1,['Mongols MC'],1,['Mongols MC']
Armenian Power,Tijuana Cartel,United States,Mexico,False,1,['Mexican Mafia'],1,['Mara Salvatrucha']
Outcasts MC,Rock Machine Motorcycle Club,,Canada,,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Bandidos Motorcycle Club,Warlocks MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Crips,Gulf Cartel,United States,Mexico,False,1,['Sinaloa Cartel'],1,['18th Street Gang']
Avenues,Los Zetas,United States,Mexico,False,1,['Sinaloa Cartel'],1,['18th Street Gang']
Família Terror do Amapá,Massa Carcerária,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Guardiões do Estado,Liga da Justiça,Brazil,Brazil,True,1,['Terceiro Comando Puro'],1,['Comando Vermelho']
Mexican Mafia,Satudarah,United States,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Killer Beez,New Zealand Nomads,New Zealand,New Zealand,True,1,['Black Power (New Zealand gang)'],1,['Mongrel Mob']
American Guards,Empire Guards,,,,1,['Bowery Boys'],1,['Dead Rabbits']
Red Scorpions,Sons of Silence,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
856 Gang,Musitano crime family,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Independent Soldiers']
La Raza Nation,Tren de Aragua,United States,Venezuela,False,1,['Mara Salvatrucha'],1,['Latin Kings']
Chiapas–Guatemala Cartel,Los Lobos,Mexico,Ecuador,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Los Negros,Venice 13,Mexico,United States,False,1,['Mexican Mafia'],1,['18th Street Gang']
Para-Dice Riders,United Nations (gang),,Canada,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Los Lobos,Tijuana Cartel,Ecuador,Mexico,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Aryan Brotherhood,Red Scorpions,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Culver City Boys,Mara Salvatrucha,United States,United States,True,1,['Mexican Mafia'],1,['18th Street Gang']
Armenian Power,Los Rojos,United States,Mexico,False,1,['Mexican Mafia'],1,['Mara Salvatrucha']
Philadelphia crime family,Tanglewood Boys,United States,United States,True,1,['Lucchese crime family'],1,['Genovese crime family']
Cártel de Santa Rosa de Lima,Los Correa,Mexico,,,1,['Cárteles Unidos'],1,['Cártel de Jalisco Nueva Generación']
Bonde dos 13,Bonde dos 40,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Gypsy Joker Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Clan Brunetti,Clan Licciardi,,Italy,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Red Devils Motorcycle Club,White Boy Posse,Sweden,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Liga da Justiça,Primeiro Comando da Capital,Brazil,Brazil,True,1,['Terceiro Comando Puro'],1,['Comando Vermelho']
Cheetham Hill Gang,Fallowfield Mandem,United Kingdom,,,1,['Gooch Close Gang'],1,['Doddington gang']
Cártel de Jalisco Nueva Generación,Puro Tango Blast,Mexico,United States,False,1,['Gulf Cartel'],1,['Barrio Azteca']
Mexican Mafia,Sons of Silence,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
East Side Longos,Nazi Lowriders,,United States,,1,['Mexican Mafia'],1,['Big Circle Gang']
Clan Gallo-Cavalieri,Clan Vangone-Limelli,Italy,Italy,True,1,['Nuova Famiglia'],1,['Clan Gionta']
Original Red Devils Motorcycle Club,Sons of Silence,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Mongols MC,Temple Street gang,United States,United States,True,1,['Mexican Mafia'],1,['Norteños']
Fallowfield Mandem,Young Gooch,,,,1,['Gooch Close Gang'],1,['Longsight Crew']
Clan Licciardi,Clan Stabile,Italy,,,1,['Secondigliano Alliance'],1,['Lo Russo clan']
Comanchero Motorcycle Club,Red Scorpions,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Knights Templar Cartel,South Pacific Cartel,Mexico,Mexico,True,1,['Beltrán-Leyva Organization'],1,['Guerreros Unidos']
Alfieri clan,Clan Magliulo,Italy,Italy,True,1,['Clan dei Casalesi'],1,['Moccia clan']
Gypsy Joker Motorcycle Club,Outcasts MC,United States,,,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Gulf Cartel,Los Lobos,Mexico,Ecuador,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Cárteles Unidos,Mexican Mafia,Mexico,United States,False,1,['Sinaloa Cartel'],1,['Los Zetas']
Forty Thieves,Plug Uglies,United States,United States,True,1,['Dead Rabbits'],1,['Bowery Boys']
Chiapas–Guatemala Cartel,Gulf Cartel,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Barrio Azteca,Independent Cartel of Acapulco,United States,Mexico,False,1,['Beltrán-Leyva Organization'],1,['Sinaloa Cartel']
Merciless Souls Motorcycle Club,Original Red Devils Motorcycle Club,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Manitoba Warriors,Sons of Silence,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Aryan Nations,Nazi Lowriders,United States,United States,True,1,['Aryan Brotherhood'],1,['Big Circle Gang']
Clan D'Alessandro,Clan Licciardi,Italy,Italy,True,1,['Clan Di Lauro'],1,['Alfieri clan']
Avenues,Vineland Boys,United States,United States,True,1,['Sinaloa Cartel'],1,['18th Street Gang']
Bloods,Los Angeles crime family,United States,United States,True,1,['Gambino crime family'],1,['Bonanno crime family']
856 Gang,Commisso 'ndrina,Canada,Italy,False,1,['Hells Angels Motorcycle Club'],1,['Independent Soldiers']
Hell's Henchmen MC,Red Devils Motorcycle Club,,Sweden,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Loners Motorcycle Club,Original Red Devils Motorcycle Club,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Chosen Few Motorcycle Club,Pagan's Motorcycle Club,United States,United States,True,1,['Outlaws Motorcycle Club'],1,['Outlaws Motorcycle Club']
Bonanno crime family,Cohen crime family,United States,,,1,['Chicago Outfit'],1,['Los Angeles crime family']
Latin Kings,Puro Tango Blast,United States,United States,True,1,['Gulf Cartel'],1,['Crips']
Latin Eagles,Tiny Rascal Gang,United States,United States,True,1,['Black Gangster Disciples Nation'],1,['Latin Kings']
Mexican Mafia,Para-Dice Riders,United States,,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Iron Horsemen Motorcycle Club,Satudarah,United States,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Mongols MC,United Nations (gang),United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Cannonball Motorcycle Club,Iron Horsemen Motorcycle Club,Finland,United States,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Cártel de Caborca,Logan Heights Gang,Mexico,United States,False,1,['Tijuana Cartel'],1,['Sinaloa Cartel']
Gulf Cartel,Nueva Plaza Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Artistas Asesinos,La Nueva Familia Michoacana,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Sons of Silence,Warlocks MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Fuerza Anti-Unión,Los Metros,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Siderno Group,Sinaloa Cartel,Italy,Mexico,False,1,['American Mafia'],1,['Wolfpack Alliance']
Pagan's Motorcycle Club,Thief in law,United States,Soviet Union,False,1,['American Mafia'],1,['Hells Angels Motorcycle Club']
Para-Dice Riders,Satudarah,,Netherlands,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Clan De Luca Bossa,Vollaro clan,Italy,Italy,True,1,['Clan Marfella'],1,['Clan Mazzarella']
Almighty Vice Lord Nation,United Blood Nation,United States,United States,True,1,['Bloods'],1,['Crips']
Los Negros,Los Ninis,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Beltrán-Leyva Organization']
18th Street Gang,Cártel de Tláhuac,United States,Mexico,False,1,['La Familia Michoacana'],1,['Sinaloa Cartel']
Diablos Motorcycle Club,Red Scorpions,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Commisso 'ndrina,Red Scorpions,Italy,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Independent Soldiers']
Independent Cartel of Acapulco,La Nueva Familia Michoacana,Mexico,Mexico,True,1,['Los Viagras'],1,['La Familia Michoacana']
Tiny Rascal Gang,White Tigers,United States,United States,True,1,['Ghost Shadows'],1,['Menace of Destruction']
Clan De Luca Bossa,Contino,Italy,,,1,['Clan Marfella'],1,['Clan Lago']
D.C. Blacks,Dead Man Incorporated,United States,United States,True,1,['Black Guerrilla Family'],1,['Aryan Brotherhood']
Iron Horsemen Motorcycle Club,Original Red Devils Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Desperados Motorcycle Club,Hell's Henchmen MC,,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Black Jackets,Gremium Motorcycle Club,Germany,Germany,True,1,['Rock Machine Motorcycle Club'],1,['X-Team']
Los Mexicles,Milenio Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Gulf Cartel']
Annihilators Motorcycle Club,Pagan's Motorcycle Club,Canada,United States,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Bonde do Maluco,Comando Classe A,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Independent Soldiers,Siderno Group,Canada,Italy,False,1,['Musitano crime family'],1,['Musitano crime family']
Chichesters,Plug Uglies,United States,United States,True,1,['Dead Rabbits'],1,['Bowery Boys']
Beltrán-Leyva Organization,Los Ciclones,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
856 Gang,Diablos Motorcycle Club,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Rockers Motor Club,Satudarah,Canada,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Golden Hawk Riders,Outlaws Motorcycle Club,,United States,,1,"[""Satan's Choice Motorcycle Club""]",1,"[""Satan's Choice Motorcycle Club""]"
Los Correa,Los Viagras,,Mexico,,1,['Cárteles Unidos'],1,['Cártel de Jalisco Nueva Generación']
Comando Vermelho,Os Aberto,Brazil,,,1,['Bala na Cara'],1,['Os Manos']
Hell's Henchmen MC,Sons of Silence,,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Comanchero Motorcycle Club,Indian Posse,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Cárteles Unidos,Los Ninis,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Beltrán-Leyva Organization']
Killer Beez,Tiny Rascal Gang,New Zealand,United States,False,1,['Crips'],1,['Bloods']
Guadalajara Cartel,Los Mazatlecos,Mexico,Mexico,True,1,['Juárez Cartel'],1,['Gulf Cartel']
Black Power (New Zealand gang),Tiny Rascal Gang,New Zealand,United States,False,1,['Crips'],1,['Bloods']
Beltrán-Leyva Organization,Wolfpack Alliance,Mexico,Canada,False,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Los Negros,Nueva Plaza Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Secondigliano Alliance,Torino,Italy,,,1,['Lo Russo clan'],1,['Clan Misso']
Gypsy Joker Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Bonde do Maluco,Liga da Justiça,Brazil,Brazil,True,1,['Terceiro Comando Puro'],1,['Comando Vermelho']
18th Street Gang,Almighty Gaylords Nation,United States,United States,True,1,['Latin Kings'],1,['Playboys']
Grupo Flechas,Juárez Cartel,Mexico,Mexico,True,1,['Los Zetas'],1,['Cártel de Jalisco Nueva Generación']
'Ndrina Piromalli,Clan Mazzarella,Italy,Italy,True,1,['Clan dei Casamonica'],1,"[""'Ndrina Giuliano""]"
Doghmush clan,Islamic State,Palestine,Iraq,False,1,['Al-Qaeda'],1,['Hamas']
Los Caparrapos,Popular Liberation Army,Colombia,Colombia,True,1,['Cártel de Jalisco Nueva Generación'],1,['Clan del Golfo']
14K,Musitano crime family,China,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Luppino crime family']
856 Gang,Brothers Keepers,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['United Nations (gang)']
Los Zetas,Playboys (gang),Mexico,United States,False,1,['Mara Salvatrucha'],1,['18th Street Gang']
Diablos Motorcycle Club,Hell's Henchmen MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Shinwa-kai,Yamaken-gumi,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Yamaguchi-gumi']
Armenian Power,Playboys (gang),United States,United States,True,1,['Mexican Mafia'],1,['18th Street Gang']
Playboys (gang),Tren de Aragua,United States,Venezuela,False,1,['Mara Salvatrucha'],1,['18th Street Gang']
Avenues,Crips,United States,United States,True,1,['Sinaloa Cartel'],1,['18th Street Gang']
38th Street Gang,Norteños,United States,United States,True,1,['18th Street Gang'],1,['Florencia 13']
