id;dia_semana;horario;mortos
174425;Terça;14:30:00;1
174427;Terça;15:00:00;0
174428;Terça;12:00:00;0
174429;Terça;17:50:00;0
174432;Terça;11:20:00;0
174433;Terça;15:00:00;0
174434;Terça;18:00:00;0
174435;Terça;07:45:00;0
174440;Terça;16:20:00;0
174441;Terça;11:00:00;0
174442;Terça;19:10:00;0
174443;Terça;13:30:00;0
174444;Terça;19:00:00;0
174445;Segunda;14:35:00;0
174446;Terça;08:05:00;0
174448;Terça;06:50:00;0
174450;Terça;14:30:00;0
174451;Terça;20:45:00;0
174452;Terça;18:20:00;0
174453;Terça;12:20:00;0
174454;Terça;19:30:00;0
174455;Terça;16:00:00;0
174456;Terça;16:35:00;0
174457;Terça;17:00:00;0
174461;Terça;06:40:00;0
174462;Terça;10:00:00;0
174463;Terça;11:00:00;0
174464;Terça;16:30:00;0
174466;Terça;19:20:00;0
174467;Terça;08:30:00;0
174468;Terça;08:30:00;0
174469;Terça;17:30:00;0
174472;Terça;17:45:00;0
174473;Terça;18:20:00;0
174475;Terça;18:00:00;0
174477;Terça;18:30:00;0
174478;Terça;18:15:00;0
174479;Terça;14:10:00;0
174481;Terça;15:35:00;0
174482;Segunda;19:10:00;0
174484;Terça;20:00:00;0
174486;Terça;14:50:00;4
174489;Terça;15:45:00;0
174491;Terça;14:40:00;0
174492;Terça;07:30:00;0
174493;Terça;10:20:00;0
174494;Terça;15:10:00;0
174495;Terça;17:20:00;0
174496;Terça;17:40:00;0
174497;Terça;15:30:00;0
174498;Terça;09:15:00;0
174499;Terça;20:20:00;0
174500;Terça;14:50:00;0
174501;Terça;16:10:00;0
174503;Terça;07:25:00;0
174505;Terça;12:00:00;0
174507;Terça;16:30:00;0
174508;Terça;14:30:00;0
174509;Terça;21:30:00;0
174510;Terça;19:30:00;0
174511;Terça;18:30:00;0
174512;Terça;08:00:00;0
174515;Segunda;15:40:00;0
174516;Terça;16:00:00;0
174517;Terça;16:40:00;0
174518;Terça;21:35:00;0
174519;Terça;13:05:00;0
174520;Terça;12:15:00;0
174521;Terça;15:30:00;0
174522;Terça;18:50:00;0
174523;Terça;15:10:00;0
174524;Terça;17:00:00;0
174525;Terça;18:30:00;0
174526;Terça;12:30:00;0
174527;Terça;09:30:00;0
174528;Terça;18:20:00;0
174529;Terça;19:00:00;0
174530;Terça;17:10:00;0
174531;Terça;07:50:00;0
174532;Terça;21:15:00;0
174533;Terça;15:15:00;0
174535;Terça;11:00:00;0
174536;Terça;20:00:00;0
174537;Terça;17:00:00;0
174538;Segunda;13:40:00;0
174539;Terça;17:00:00;0
174541;Terça;22:00:00;0
174542;Quarta;00:02:00;0
174543;Terça;15:15:00;0
174544;Terça;13:00:00;0
174546;Terça;22:30:00;0
174549;Terça;18:40:00;0
174550;Terça;23:15:00;0
174551;Terça;19:30:00;0
174552;Terça;09:10:00;0
174553;Segunda;19:45:00;0
174554;Terça;17:30:00;0
174555;Segunda;13:00:00;0
174556;Terça;17:30:00;0
174557;Terça;12:45:00;0
174558;Terça;18:40:00;0
174559;Terça;20:30:00;0
174560;Terça;20:15:00;0
174561;Segunda;06:30:00;0
174562;Terça;17:45:00;0
174563;Terça;17:40:00;0
174564;Segunda;16:10:00;0
174565;Terça;22:15:00;0
174567;Segunda;16:45:00;0
174568;Terça;18:40:00;0
174569;Terça;09:20:00;0
174570;Segunda;14:55:00;0
174571;Segunda;17:00:00;0
174572;Terça;17:10:00;0
174573;Terça;21:00:00;0
174574;Terça;08:00:00;0
174575;Terça;21:30:00;0
174576;Terça;18:20:00;0
174578;Terça;20:00:00;0
174579;Segunda;10:30:00;0
174581;Terça;19:00:00;0
174582;Terça;16:45:00;0
174583;Terça;07:50:00;0
174585;Terça;10:30:00;0
174586;Terça;17:15:00;0
174588;Terça;15:55:00;0
174589;Terça;09:45:00;0
174590;Terça;19:20:00;0
174591;Terça;16:30:00;0
174593;Terça;20:08:00;0
174594;Terça;18:05:00;0
174595;Quarta;01:30:00;0
174596;Terça;11:00:00;0
174597;Quarta;04:00:00;0
174598;Terça;17:00:00;0
174599;Quarta;03:00:00;0
174600;Terça;16:45:00;0
174601;Terça;13:50:00;0
174602;Terça;07:45:00;0
174603;Terça;14:45:00;0
174604;Terça;16:15:00;0
174605;Terça;17:30:00;0
174606;Terça;21:40:00;1
174608;Terça;18:40:00;0
174609;Quarta;00:02:00;0
174610;Terça;20:30:00;0
174611;Terça;13:10:00;0
174612;Quarta;03:25:00;0
174613;Terça;16:30:00;0
174614;Terça;18:15:00;0
174615;Terça;19:15:00;0
174616;Terça;16:00:00;0
174617;Terça;21:30:00;0
174620;Terça;13:40:00;0
174621;Terça;22:00:00;0
174623;Terça;16:00:00;0
174625;Terça;17:30:00;0
174626;Terça;11:20:00;0
174627;Quarta;02:35:00;0
174632;Segunda;16:00:00;0
174633;Terça;09:30:00;0
174634;Terça;08:20:00;0
174635;Terça;09:40:00;0
174636;Quarta;06:45:00;0
174637;Terça;18:30:00;0
174644;Quarta;01:40:00;0
174645;Terça;10:00:00;0
174646;Quarta;07:00:00;0
174650;Terça;14:40:00;0
174652;Segunda;16:30:00;0
174653;Terça;22:00:00;0
174658;Segunda;10:30:00;0
174661;Terça;20:45:00;0
174663;Terça;17:10:00;0
174667;Terça;17:40:00;0
174674;Quarta;07:40:00;0
174676;Segunda;18:30:00;0
174678;Quarta;07:30:00;0
174679;Quarta;07:45:00;0
174682;Terça;17:30:00;0
174686;Terça;09:30:00;0
174691;Quarta;00:20:00;0
174692;Quarta;07:40:00;0
174695;Segunda;02:00:00;0
174696;Segunda;16:40:00;0
174697;Segunda;15:45:00;0
174702;Quarta;08:00:00;0
174706;Quarta;09:30:00;0
174708;Quarta;07:00:00;0
174709;Terça;13:30:00;0
174710;Terça;14:00:00;0
174711;Terça;15:15:00;0
174715;Quarta;07:45:00;0
174719;Quarta;09:10:00;0
174723;Segunda;19:00:00;0
174724;Quarta;09:00:00;0
174725;Terça;15:00:00;0
174726;Quarta;07:45:00;0
174727;Quarta;08:40:00;0
174728;Quarta;08:00:00;0
174730;Quarta;04:00:00;0
174733;Terça;14:00:00;0
174735;Quarta;08:30:00;0
174737;Terça;16:10:00;0
174738;Terça;10:00:00;0
174741;Segunda;01:00:00;1
174742;Terça;06:00:00;0
174743;Segunda;18:00:00;0
174746;Terça;01:20:00;3
174747;Segunda;20:40:00;0
174748;Quarta;10:30:00;0
174749;Quarta;06:30:00;1
174750;Terça;02:40:00;0
174752;Quarta;09:05:00;0
174754;Quarta;07:05:00;0
174756;Quarta;08:00:00;0
174757;Segunda;08:10:00;0
174760;Quarta;06:40:00;0
174763;Quarta;11:30:00;0
174764;Terça;15:30:00;0
174765;Quarta;09:30:00;0
174766;Quarta;09:40:00;0
174767;Segunda;03:00:00;0
174768;Quarta;09:30:00;0
174773;Quarta;08:05:00;0
174774;Quarta;05:40:00;0
174776;Quarta;10:30:00;0
174778;Quarta;05:30:00;0
174781;Quarta;08:00:00;0
174782;Segunda;19:00:00;0
174785;Quarta;09:00:00;0
174786;Quarta;10:15:00;0
174787;Terça;15:50:00;0
174788;Quarta;10:10:00;0
174789;Quarta;11:30:00;0
174791;Segunda;08:00:00;0
174793;Terça;11:50:00;0
174794;Quarta;12:30:00;0
174796;Quarta;09:00:00;0
174798;Quarta;11:45:00;0
174799;Quarta;09:20:00;0
174801;Quarta;06:45:00;0
174803;Quarta;11:35:00;0
174805;Segunda;06:30:00;0
174806;Quarta;11:40:00;0
174807;Quarta;09:40:00;0
174808;Segunda;17:00:00;0
174812;Quarta;11:40:00;0
174817;Terça;05:00:00;0
174818;Quarta;14:15:00;0
174819;Terça;14:00:00;0
174820;Segunda;17:30:00;0
174824;Terça;11:35:00;2
174826;Segunda;16:30:00;0
174827;Quarta;11:15:00;0
174828;Quarta;12:30:00;0
174829;Quarta;09:40:00;0
174831;Quarta;11:55:00;0
174833;Quarta;11:00:00;0
174835;Segunda;18:05:00;1
174836;Quarta;11:50:00;0
174837;Terça;14:15:00;0
174839;Quarta;07:50:00;1
174842;Quarta;11:15:00;0
174844;Quarta;11:40:00;0
174845;Quarta;14:05:00;0
174849;Quarta;08:30:00;0
174851;Quarta;15:10:00;0
174853;Quarta;12:20:00;0
174854;Quarta;12:00:00;0
174855;Terça;05:30:00;0
174856;Quarta;10:50:00;0
174859;Quarta;15:45:00;0
174861;Quarta;14:10:00;0
174863;Terça;06:15:00;2
174864;Quarta;14:15:00;0
174865;Quarta;12:00:00;0
174866;Quarta;15:00:00;0
174868;Quarta;11:50:00;0
174871;Quarta;15:20:00;0
174873;Terça;11:30:00;0
174874;Quarta;07:20:00;0
174875;Quarta;15:15:00;0
174876;Terça;07:10:00;0
174878;Quarta;15:00:00;0
174879;Quarta;15:30:00;0
174881;Quarta;12:10:00;0
174882;Quarta;14:50:00;0
174884;Quarta;15:10:00;0
174886;Segunda;11:00:00;0
174887;Terça;23:30:00;0
174888;Quarta;11:45:00;0
174889;Quarta;13:00:00;0
174890;Quarta;17:00:00;0
174891;Quarta;10:25:00;0
174892;Quarta;10:40:00;0
174893;Quarta;13:00:00;0
174895;Quarta;16:20:00;0
174897;Quarta;14:30:00;0
174898;Quarta;14:10:00;0
174900;Quarta;10:30:00;0
174903;Quarta;11:40:00;0
174904;Quarta;17:15:00;0
174905;Quarta;13:00:00;0
174906;Quarta;14:15:00;0
174907;Quarta;16:25:00;0
174908;Quarta;17:00:00;0
174909;Quarta;16:00:00;0
174911;Terça;10:30:00;0
174912;Terça;07:50:00;0
174914;Terça;08:00:00;0
174915;Quarta;10:00:00;0
174917;Quarta;15:15:00;0
174919;Quarta;10:30:00;0
174921;Terça;12:00:00;0
174922;Terça;01:50:00;0
174923;Quarta;15:30:00;0
174924;Quarta;16:00:00;0
174925;Quarta;14:10:00;0
174926;Quarta;14:00:00;0
174927;Terça;16:10:00;0
174928;Quarta;13:30:00;0
174930;Terça;15:20:00;0
174933;Quarta;15:20:00;0
174935;Quarta;17:00:00;0
174937;Quarta;09:10:00;0
174939;Terça;16:50:00;0
174940;Quarta;19:00:00;0
174941;Quarta;15:15:00;0
174944;Segunda;19:30:00;0
174945;Quarta;16:40:00;0
174946;Quarta;16:30:00;0
174947;Quarta;15:30:00;0
174948;Terça;09:30:00;0
174949;Quarta;10:30:00;0
174950;Terça;21:10:00;0
174952;Terça;23:30:00;0
174953;Quarta;17:30:00;0
174954;Quarta;17:30:00;0
174955;Quarta;18:30:00;0
174956;Quarta;13:40:00;0
174957;Quarta;14:15:00;0
174958;Quarta;08:50:00;0
174959;Quarta;18:40:00;0
174961;Terça;16:30:00;0
174963;Terça;09:00:00;0
174964;Quarta;15:20:00;0
174965;Terça;07:40:00;0
174967;Terça;23:30:00;0
174968;Quarta;18:20:00;0
174970;Quarta;17:00:00;0
174971;Quarta;15:20:00;0
174973;Quarta;14:45:00;0
174974;Quarta;17:20:00;0
174975;Quarta;06:45:00;0
174977;Quarta;16:20:00;0
174978;Segunda;03:20:00;0
174979;Quarta;13:40:00;0
174981;Quarta;11:45:00;0
